customer_id,customer_name,email,phone,gender,city,state,country,registration_date,customer_type
CUST00090,michele sanders,andrearowe@example.com,585.744.5877x175,Female,Robertshire,Iowa,Saint Vincent and the Grenadines,2022-03-30,REGULAR
CUST00091,JUAN SILVA,mphillips@example.com,969.937.8547,Other,Lake Laura,Hawaii,Burundi,2025-02-26,REGULAR
CUST00092,Steve Mooney,warrenmary@example.org,+1-900-962-3120x38750,Female,North Amandachester,Alabama,Andorra,2023-05-04,PREMIUM
CUST00093,Donna Shaw,ldrake@example.org,682-833-9845,Female,West Susanmouth,Oregon,Ecuador,2022-12-03,REGULAR
CUST00094, Ronald Miller ,davisnicholas@example.net,Not Available,Female,Browntown,Vermont,Chile,2021-09-14,PREMIUM
CUST00095,mr. richard knight phd,jacobsonsamantha@example.org,297.440.1489,Female,Alexisborough,Pennsylvania,Cambodia,2024-05-22,REGULAR
CUST00096,Elizabeth Elliott,irhodes@example.com,(821)785-0163x1599,Female,Lake Joshuamouth,New York,Denmark,2024-01-11,REGULAR
CUST00097,Jaime Lopez,nmiller@example.com,711.342.6265,Male,North Sherrymouth,Mississippi,Senegal,2023-04-19,REGULAR
CUST00098,Brandon Jordan,fgarcia@example.com,+1-819-395-6046,Female,New Adriana,Utah,Hong Kong,2022-06-11,REGULAR
CUST00099,Eric Snyder,jacksonjoshua@example.com,215.843.7993x7124,Female,Meaganfurt,Michigan,Kazakhstan,2023-11-06,REGULAR
CUST00100,Rodney Curtis,kevinmorrison@example.net,575.726.5479,Male,Ramirezfurt,Mississippi,Brazil,2022-09-13,REGULAR
CUST00101,Kimberly Maldonado,bentonsteven@example.net,674.416.7243,Other,Mccormickland,New Hampshire,Netherlands Antilles,2025-01-28,PREMIUM
CUST00102, Kimberly Mclean ,ystephens@example.com,001-789-811-3529x096,Male,North Coreybury,North Carolina,San Marino,2025-05-31,REGULAR
CUST00103,Melissa Walker,peter98@example.org,(907)514-6112x545,Other,Baileyville,New Hampshire,Saint Helena,2024-11-06,REGULAR
CUST00104,ERIC PATRICK,johnsonmatthew@example.org,+1-423-882-8258x67362,Female,Johnsonborough,New Hampshire,Nauru,2024-08-27,REGULAR
CUST00105,Michael Harris,raylauren@example.net,(755)837-1478,Female,Matthewsstad,Minnesota,Tanzania,2024-11-23,REGULAR
CUST00106,Robin Mccarthy,samantha91@example.net,(851)834-1252,Male,New Patrick,Idaho,Libyan Arab Jamahiriya,2022-06-23,REGULAR
CUST00107,KATHERINE TAYLOR,megan90@example.com,9728368876,Male,Burnsland,Oregon,Antarctica (the territory South of 60 deg S),2022-11-17,REGULAR
CUST00108,Donald Medina,kimberlycunningham@example.com,+1-281-991-4858,Male,South Curtis,Tennessee,Sao Tome and Principe,2023-02-09,REGULAR
CUST00109,Zachary Cole,michelle17@example.org,001-733-695-9629x23309,Female,West Tiffany,Maine,French Guiana,2023-04-11,REGULAR
CUST00110,KAYLA MCCULLOUGH,taylorkaren@example.com,9424232536,Other, Courtneyfurt,New Hampshire,Belarus,2021-10-17,VIP
CUST00111,PAUL NEAL,shawn75@example.net,5179518636,Other,Marcusport,Michigan,Mexico,2022-02-10,REGULAR
CUST00112,Karina Cooper,williamsconnie@example.com,6124770632,Female,Clarencestad,Kentucky,Belize,2024-03-01,REGULAR
CUST00113,Mariah Williams,jessica36@example.net,910-237-1293,Male,Lake Matthewville,Nevada,Puerto Rico,2022-02-15,REGULAR
CUST00114,DARRYL DAVIS,garciamichael@example.com,(462)921-8909,Female,Jenniferberg,Nebraska,Nicaragua,2024-10-06,REGULAR
CUST00115,Angelica Garcia,lawrencepatrick@example.com,523-841-3899x94043,Other,Debbiebury,New York,Hungary,2021-12-17,PREMIUM
CUST00116,MARK JONES,hatfieldsarah@example.org,(596)258-2710x9104,Male,Port Raymondport,South Dakota,Rwanda,2025-04-06,REGULAR
CUST00117,Jessica Morales,joshuacollins@example.net,528.256.9146,Male,North Sandy,Delaware,Korea,2021-06-20,REGULAR
CUST00118,Patrick Yang,smithderrick@example.org,(675)388-4252,Female,West Lindsayview,North Dakota,Bahrain,2023-03-28,REGULAR
CUST00119,Laura Jones,ddixon@example.com,001-225-224-1913,Female,East Brandonstad,Missouri,Uruguay,2022-04-12,REGULAR
CUST00120,Tyler Johnson,pwalker@example.com,001-854-319-5180x2380,Male,Clineport,Massachusetts,Benin,2024-11-20,REGULAR
CUST00121,Curtis Elliott,jodi37@example.com,001-573-783-2060,Other,West Aaronfurt,West Virginia,Saint Lucia,2023-08-14,PREMIUM
CUST00122,Joseph Allen,jwoodward@example.net,410-838-6571x918,Female,New Ashleychester,Texas,Bulgaria,2023-01-06,VIP
CUST00123,samuel howe,vhaynes@example.com,774-831-3291x21277,Female,New Michaelborough,New Hampshire,Gambia,2024-12-10,REGULAR
CUST00124,BRYAN MOORE,margaret90@example.org,521-335-6804x42067,Other,Garciaberg,Delaware,American Samoa,2021-07-11,VIP
CUST00125,Vickie Anderson,owatson@example.net,499-341-0137,Female,Davidmouth,Arkansas,Chile,2024-09-07,REGULAR
CUST00126,Jennifer Johnson,nthompson@example.org,Not Available,Other,Joshuaberg,Arizona,Nicaragua,2023-02-03,REGULAR
CUST00127,kathleen andrade,rbrown@example.com,(963)983-8065,Male,Robertahaven,Massachusetts,Iceland,2023-04-21,REGULAR
CUST00128,Francis Robinson,brian78@example.com,001-493-421-3348x03965,Male,New Louis,West Virginia,Qatar,2024-01-20,REGULAR
CUST00129,Alyssa Haynes,annalopez@example.com,+1-542-270-1039,Male,Smithborough,Florida,Guam,2022-07-06,REGULAR
CUST00130,sarah morris,hernandezjanet@example.org,001-818-951-5691x54522,Male,Grantside,Vermont,Tuvalu,2024-01-14,REGULAR
CUST00131,Kevin Thompson,jessica42@example.org,001-909-469-0295x9391,Female,Juliebury,Minnesota,Ghana,2022-06-06,REGULAR
CUST00132,Tracey Underwood,sean43@example.org,001-915-841-0067x626,Male,Amyville,New Mexico,Solomon Islands,2022-12-02,PREMIUM
CUST00133,benjamin singleton,andrew41@example.org,826-421-8159x97062,Male,North Markborough,Nebraska,Qatar,2023-04-05,REGULAR
CUST00134,elizabeth davis,farmstrong@example.org,3502614973,Other,East Danielle,Colorado,Lebanon,2021-12-25,REGULAR
CUST00135,james burns,christopher86@example.org,(265)427-0477x434,Other, North Elizabethside,Nebraska,Saudi Arabia,2022-12-08,REGULAR
CUST00136,sara cardenas,rsheppard@example.com,001-437-341-6089,Female,Thompsonburgh,Indiana,Sri Lanka,2022-08-22,REGULAR
CUST00137,Jay Mcneil,oharris@example.org,+1-945-211-6868x548,Male,Rodriguezberg,Georgia,Montenegro,2021-11-08,REGULAR
CUST00138,Kristine Garcia,mikayla56@example.com,(279)897-0246x2996,Male,Hannahton,West Virginia,Lebanon,2023-04-15,REGULAR
CUST00139,Alicia Roth,larry71@example.org,(947)554-6913,Male,Figueroahaven,Mississippi,Swaziland,2021-06-24,REGULAR
CUST00140,Caitlin Collins,htaylor@example.net,7235303070,Male,Michealmouth,North Carolina,Indonesia,2022-01-20,PREMIUM
CUST00141,Dana Burns,ethompson@example.net,+1-255-424-1406,Other,Port Jeffrey,Iowa,Philippines,2022-10-05,PREMIUM
CUST00142,Jason Smith,wellsdavid@example.org,+1-503-949-4466x574,Other,Ericafurt,Pennsylvania,Bosnia and Herzegovina,2021-01-23,VIP
CUST00143,Mary Bridges,anna99@example.com,517-215-4544x4328,Other,Guerreroberg,Washington,Anguilla,2025-03-26,PREMIUM
CUST00144,DEANNA BARNES MD,aguilarwanda@example.org,638-475-8428x24172,Male,Destinybury,Minnesota,Czech Republic,2023-08-13,REGULAR
CUST00145,STEPHEN WATSON,steven17@example.org,+1-299-491-7381x6846,Male,East Matthew,Oregon,Uganda,2024-11-22,REGULAR
CUST00146,Scott White,freemancrystal@example.org,800-874-3292x71296,Other,Sanfordfurt,Alabama,Argentina,2022-09-12,REGULAR
CUST00147,Tiffany Mcclain,andrewsmith@example.net,Not Available,Female,East Heather,Minnesota,Georgia,2022-02-05,VIP
CUST00148,Jonathan Torres,colonkenneth@example.com,889.285.6257x532,Other,East Jessica,Florida,Croatia,2021-03-10,REGULAR
CUST00149,Caroline Richardson,brooksdanielle@example.net,+1-609-901-0016x761,Female,East Heather,South Dakota,Algeria,2023-07-25,PREMIUM
CUST00150,BRIAN MEYER,robertroach@example.net,001-791-841-1739x3483,Male,Ethanside,New York,United States Minor Outlying Islands,2022-10-08,VIP
CUST00151,Karen Young,powersrebecca@example.net,+1-372-418-1143x74470,Other,Port Kellymouth,Nevada,Saint Vincent and the Grenadines,2021-12-27,VIP
CUST00152,Peter Williams,elizabethjackson@example.com,894.915.5216x674,Male,Banksburgh,Delaware,Bulgaria,2021-07-02,REGULAR
CUST00153,dr. ashley pruitt,rpham@example.com,(396)859-0277,Other,Williamsview,Tennessee,Germany,2021-02-08,REGULAR
CUST00154,MEGAN SAUNDERS,tiffanysantiago@example.com,489.916.3756x28900,Male,Boothland,Wisconsin,Liechtenstein,2023-09-24,REGULAR
CUST00155, Wayne Williams ,andreagray@example.org,377-997-1775,Male,North Richardton,Oklahoma,Mexico,2021-01-01,REGULAR
CUST00156,Rebecca Richmond,pamela83@example.net,+1-375-350-3758x99757,Female,North Matthew,South Dakota,South Georgia and the South Sandwich Islands,2023-06-27,PREMIUM
CUST00157,jacqueline rodriguez,travisunderwood@example.net,001-361-849-3316x3735,Female,Lake Maryshire,Delaware,Sierra Leone,2024-10-31,PREMIUM
CUST00158, Kevin Gordon ,vsmith@example.org,+1-369-878-2922,Other,Williamfurt,Nebraska,New Caledonia,2023-02-11,PREMIUM
CUST00159,Victor Waller,iballard@example.com,+1-484-485-8333x945,Female,Jenniferstad,Oklahoma,Lesotho,2024-07-21,REGULAR
CUST00160,Stephanie Ferguson,hstokes@example.org,6624003424,Other,Lake Kristenborough,Wisconsin,Mauritius,2021-04-11,REGULAR
CUST00161,Jesse Jensen,juliahoffman@example.org,540.766.6580x04397,Other,Port Jenny,Illinois,French Polynesia,2024-10-26,PREMIUM
CUST00162,Michael Lopez,jillwilson@example.org,(748)242-2940x57202,Female,Tracyshire,Oklahoma,Guinea-Bissau,2021-08-15,VIP
CUST00163,EMILY ROBINSON,abigailhartman@example.org,(988)261-5335x55439,Female,Lake Michaelbury,Tennessee,Nicaragua,2023-01-28,REGULAR
CUST00164,melanie flores,cruzamber@example.com,5857887704,Other,North Garyside,Ohio,Albania,2021-07-23,VIP
CUST00165,Mark Lewis,nhouston@example.net,001-661-320-7501x102,Male,West Rickey,New Hampshire,Norfolk Island,2024-06-10,PREMIUM
CUST00166,Alan Nunez,maychristine@example.net,001-301-658-1449,Male,Jamestown,New Mexico,Cayman Islands,2022-11-15,REGULAR
CUST00167,James Salinas,susan24@example.net,001-350-688-2100x9968,Other,Lake Judith,Washington,Guatemala,2022-10-20,VIP
CUST00168, Matthew Hunt ,jackjensen@example.com,612.390.8781,Female,Coreyshire,New York,Zambia,2023-10-25,REGULAR
CUST00169,michael young,christine35@example.com,259.749.2995x562,Male,Port Jeffrey,West Virginia,Norway,2024-09-16,PREMIUM
CUST00170,ian frazier,natalie77@example.com,001-347-281-2914x28341,Male,Port Bonniefurt,Wyoming,Nauru,2022-10-24,REGULAR
CUST00171, kristen stephens ,jvaldez@example.com,(539)442-7881x6580,Male,South Erik,Oregon,Yemen,2022-03-31,REGULAR
CUST00172,Karen Howard,kathleenhall@example.com,(330)638-5677x005,Female,Bethshire,Idaho,Honduras,2024-03-22,PREMIUM
CUST00173,MATTHEW HOUSTON,nicholas38@example.com,(657)579-0827x231,Other,East Eric,Rhode Island,Saint Barthelemy,2022-01-03,REGULAR
CUST00174,JENNIFER RIVERA,olsontimothy@example.org,001-426-403-0299,Male,New Dylanburgh,Kentucky,Uzbekistan,2022-07-14,VIP
CUST00175,jennifer costa,johnsjessica@example.com,437-497-7236,Male,Garymouth,New Jersey,Nepal,2021-08-02,REGULAR
CUST00176,James Rodriguez,alexandrablankenship@example.net,(429)212-7990x88117,Female,Boydstad,Arizona,Qatar,2024-08-25,REGULAR
CUST00177, robert clarke ,zbell@example.net,001-591-262-4731x49864,Other,New Alexandrahaven,Alabama,Honduras,2022-10-01,PREMIUM
CUST00178,emily cox,ronaldrichards@example.com,+1-969-459-4636,Other,Angiefort,Kentucky,Gambia,2023-12-06,REGULAR
CUST00179,Jennifer Taylor,adkinssean@example.net,(413)886-5890,Female, Port Christopherberg,New Mexico,Vanuatu,2024-09-14,REGULAR
CUST00180,DENNIS WOOD,ramseysarah@example.com,+1-584-290-2770x384,Female,New Gavin,Arizona,Guyana,2023-01-14,REGULAR
CUST00181,vanessa miller,kimberly56@example.com,001-738-701-1848,Male,Jeremyborough,New Jersey,Venezuela,2024-06-09,REGULAR
CUST00182,debbie russell,hansenwesley@example.com,984-589-4769,Other,Susanmouth,Utah,Kuwait,2021-03-26,REGULAR
CUST00183,Mr. James Kramer,ericahall@example.com,(958)780-4341x65182,Female,Jefferyshire,Louisiana,Cocos (Keeling) Islands,2022-08-14,PREMIUM
CUST00184,Mr. Nicolas Salas II,maryhuff@example.com,(911)717-9080,Other, Travisshire,Louisiana,Liechtenstein,2022-07-23,REGULAR
CUST00185,DR. DIANA WALKER,brianlloyd@example.com,+1-908-756-2718,Male,North Emilyfurt,Pennsylvania,Bolivia,2023-10-09,PREMIUM
CUST00186,Scott Lopez,joel79@example.com,(427)563-6556x472,Other, Lake Josephbury,Oklahoma,Jersey,2024-03-29,REGULAR
CUST00187, Robert Rodgers ,lshaffer@example.com,428.285.7448x9061,Female,Port Jonathan,South Dakota,Bhutan,2024-10-29,REGULAR
CUST00188,debbie ward,maurice61@example.com,+1-893-699-8245x58771,Male,Welchberg,Hawaii,Northern Mariana Islands,2023-11-15,REGULAR
CUST00189,Logan Sullivan,millermatthew@example.com,244-496-4759x87622,Other,Lake Johnathan,West Virginia,Reunion,2021-09-06,REGULAR
CUST00190,JAMES DAVIS,bkelley@example.com,411.449.2164x33472,Other,North Elizabethmouth,New Mexico,Lao People's Democratic Republic,2023-04-27,REGULAR
CUST00191,Brandy Fry,brittanybryant@example.net,+1-796-888-4578x3174,Male,Erictown,Alabama,Mali,2022-02-28,REGULAR
CUST00192,John Smith,earroyo@example.com,8648930853,Other,Wrightfurt,Missouri,Cyprus,2023-03-29,REGULAR
CUST00193,Mario Black,justin84@example.com,612.924.1797,Other, West Andrew,Arkansas,Martinique,2021-03-10,REGULAR
CUST00194, brian adams ,oacosta@example.org,(907)235-6475,Male,Christopherberg,Arkansas,Ethiopia,2024-05-04,PREMIUM
CUST00195,JOHN LEE,lisa01@example.net,567.930.3718,Other,Maldonadoport,Massachusetts,Cayman Islands,2021-05-12,PREMIUM
CUST00196,Krista Martinez,mlittle@example.com,3318365024,Other,North Tanya,Pennsylvania,Slovenia,2025-01-16,REGULAR
CUST00197,brittney townsend,ericdavis@example.net,500-252-8127x35857,Other,Howardberg,Kentucky,United Arab Emirates,2021-05-03,REGULAR
CUST00198,MR. EDWARD TERRY,ashleystephens@example.com,001-774-998-2182x7448,Female,Port Danafurt,Washington,Colombia,2021-02-28,PREMIUM
CUST00199, Helen Oliver ,jennifer86@example.org,478.429.4565x11810,Other,East Danielborough,Connecticut,Antigua and Barbuda,2024-04-22,REGULAR
CUST00200,kelly miles,brandon39@example.net,803-771-7058,Male,Port Christinahaven,Arizona,Saint Martin,2021-08-07,REGULAR
CUST00201,angela lewis,garciajerry@example.com,338.739.2886,Other,Parkchester,Connecticut,Chad,2022-07-15,PREMIUM
CUST00202,KATHY SANDOVAL,umahoney@example.net,956-965-9398x36845,Other,Smithton,Maine,Nepal,2021-02-20,REGULAR
